chords
Amaj7sus4
D7sus2
Dm/C
D#/C#
Eb11/C#
D9
G5/E
E7/9
A7
D79
B79
D/F#
A#maj7
Dmaj7/F#
B5/G
B7/9t
B9
occasional
7x
Dm9
F#4
#Fm
/F
X
Am7sus4
Dm7
G#5/G
Db7/9
D/C
Am/Ab
AD
Fm9
GDDsusC
Gdim
G5
fingering
Asus2/E
G6/4
riff1
just
Dm79
G7M
DsusD9
C/Bb
G/F#
A6
C9/G
Asus4/7
Cm7b5
C#madd9
D6/E
DmDsus2
Ab
Bbm/Db
Am/G
E79
GmtGm
Ab/Db
Dmaj9
PLAY
F#9
A7/4
Eb5
Bbno5
Fsus2/E
G/Gb
A#m7
D5/F#
B/A
Bbsus9
F#sus4
E2
D#m
F7/C
D7
some
F#7/C#
Cmaj7
Amadd9
Gmaj7
F#m11/C#
x8
E4/6
A#7
D9/G
F#/A#
CD
Bb9/Eb
Bm11/E
Cm/Bb
D/E
G7sus
D#m4/7
DD
Am/C
Dsus2
x1
Gbm6/Ab
D6
Dsus2/Att
Dsus4
Abmaj7
D
E7/D
Gbadd9
ring
E5/Eb
Cadd9D
Bsus9
Cm/G
open
Dm7sus
D#mmaj7
E6
4xs
Bb/C
Bbdim
F/G
GD
C7/9
tBm
Bm5/7
Crazy
few
D6/B
Cdim
N
F#/D
C#6
Oh
Bbdim7add9
Gm/Eb
Fx8
F#7
TWICE
C7M11
Bm3x
A7/G
A7m
Dm5
F#/C#
F#sus4/E
Bm4/7
Ebno5
Db9/F
B/A#
Em/D
F6
F#713
X3
Am7b5
Cm7
E59
D#m7
Bsus4
D7M9
Asus
A/C#
D7M/F#
G#sus4G#
F6/G
C6
Eb/Db
C#m/E
Cadd2
G/D
D#9
D7A7
F#aug
Em7
C6/D
Am/E
E4/A
Dm
C/E
8
F#m6
Ab/F
F7M/C
Cmaj7b5
Gb
Dm6/F
3X
G#maj7
Aadd9
Ab9
B2
Ebm
E7/13
C#9
ou
Dm4x
F#maj7
D/F
F5F5F5
G7/D
Am/F#
F#m7b5
bm
11x
D69/F#
Db7
C#4
F#m/C#
C6/9
FbarC
D#sus2
Gdim7
F
GGadd9
//
F#5
Caug
D7sus4
C4
F/D
Eb7M9
Abm7
G7/E
G2
Ettx2
Am11
B/F#
4x
D9/A
Bb/Ab
Bb7/13
Fmaj7/D
Bsus
6x
F#m
C2
string
EF#m
F#m/B
A4
C79
Dadd4
repeated
C9
Bbm7/Eb
Bm7/E
X2
Eb
Ebm/Db
alto
F#m/A
Cm/A
Emaj9
D5/E
2xs
Db5
Dsus4/F#
F7M9
Bm9
Gm/Bb
Ebmaj7
E6/C#
C#2
A11
D9/C
Bm/A
A4/D
Am
Gmaj9/B
E/Eb
A#dim
Eb9
B7
G/D#
G#2
F#sus9
C#dim
Dbm
Gsus4
Em/G
Asus2
D2
AE
Fadd9
Db/F
x4
x5
G#7/D#
Gm
Fm7
D6/9
A7/4/E
D#maj7
play
Bflat5
G#Bm
D/Bb
G#sus
Fmaj7
Fm/C
Dm/A
B4/E
minor
D4/F#
Em/C
Cmaj9/B
Bb/G
Gtt
Ddim
Db
bars
Dsus2/B
memory
G#m7b5
F#m9
Gadd9
C#m7
3xF#
Gadd4/B
3x
Am/B
Eb7
A4/7
F#/Bb
Abadd9
Dsus4/G
Bbm
Ab/Gb
Fx2
D49
C#7
Fm79
Amaj7/B
D#5
out
Dsus2/A
Gx2
great
Am7/9
A/G#
Cm
3
Bb
A2
Gbm7
Am7
DmC#m
A#5
hammer
B/C
A/F#
Bb75
Absus2
Bb7
G#/C
A2x
x7
Bbsus2
CaddD
A7sus4
Absus
B/E
Am6M
C/A
E11
Gadd2
G4/D
Fmaj9
D/B
C#maj7
Em11
Ebdim
Db79
E7
Fm7/C
A/Ab
Dm/F
Bb5
Em/B
Eb/Bb
ED
Aadd9/C#
Eadd9
Am4
GmEb
Gm7/D
Fm7/Ab
Fm/D#
G/A
C/B
Fadd9/A
C7/Bb
d
B5/7/9
Gaug/C#
hammeron
Cadd2/B
B5
Bm/F#
E5/B
D#I
F#m711
Am79
B7/F#
Em7/B
G#m7
Bbadd9
Am9
Bbm6
F#5/D#
Emsus4
F#4/C#
D#7M
F#dim
G11
oh
Dm4/A
A2/F#
Cmaj7/G
Fm6
sus4
Bb6
Bbm7
G#m/D#
E9
F#m7
Am13/E
x3
/
stop
Amaj7
E7#9
Dmaj7/C#
D5
repeat
G2x
Bbm5
Gb#4
E9sus4
F#7add4
AAA
Chords
D46
Dsus2/C#
Fmaj7/A
Bm7
2
Dm6
Dm2x
Ab7M
G#m
F7/9
tC
AmGAm
A7sus
D#6
riff
Absus4
Db7M
C/D
b
C7M
Gsus
E/G#
Bbsus4
Cadd9
F#
Gsus2
D#
with
E/B
Twice
C7
D7M
Gm/A
C#7/9
C#4/7
A7/9
Bb7M/C
Gm/F
G#5
Db/Bb
Gadd4
F9
E5/D#
Fm
Em7/11
B/Eb
Am6/9
G#m7/D#
F7M
Cmaj9
Dsus
GmGmF
2X
F/E
F#7/9
F5
Bb/F
Fm/Ab
Cno5
C5
Ab7
Em
C#m/B
F4
8x
4
G4/7/9
Gadd11
F/A
A5
B/C#
times
Pause
Abm
C#7M
Csus2
D7/9
Cm6/G
C7/E
G7/F
B4
Bsus2
D4/G
G/Bonce
A7/13
Dbm/E
5x
Ab5
G7
A7sus2
x12
Esus4
A/E
Eb/G
Cx2
A/F
